Name,Gene_ID,GenomeBuild,Chr,Accession,overallMeanByCpGacross50data
cg07857181,5429,36,6,NM_006502.1,0.049962365
cg07858745,2969,36,7,NM_032999.1,0.054518144
cg07861564,26353,36,12,NM_014365.2,0.054761364
cg07862358,4651,36,5,NM_012334.1,0.046016968
cg07864189,55191,36,11,NM_018161.4,0.042606929
cg07864297,2103,36,14,NM_004452.2,0.694182482
cg07864632,9320,36,2,NM_004238.1,0.064213484
cg07865790,121457,36,12,NM_201613.1,0.031078445
cg07867360,5522,36,4,NM_020416.2,0.759850473
cg07868688,23595,36,6,NM_012381.2,0.059575818
cg07871503,221002,36,10,NM_145313.1,0.729917499
cg07872652,254263,36,11,NM_182553.1,0.058150172
cg07873128,114879,36,11,NT_009237.17,0.906117781
cg07873488,140453,36,7,NM_001004430.1,0.767901245
cg07874155,1495,36,5,NM_001903.2,0.022987444
cg07874284,5634,36,X,NM_002765.2,0.181897938
cg07874520,284486,36,1,NM_182578.1,0.71551065
cg07876586,10857,36,X,NM_006667.2,0.250200261
cg07879727,7473,36,17,NM_030753.3,0.047661986
cg07879977,4992,36,16,NM_012360.1,0.681529336
cg07880061,27166,36,5,NM_013237.2,0.033575874
cg07880715,5925,36,13,NT_024524.13,0.611861318
cg07880854,129804,36,2,NM_153214.1,0.292177908
cg07881407,6358,36,17,NM_032962.2,0.687486912
cg07882535,29850,36,11,NM_014555.2,0.842485988
cg07882831,94015,36,17,NM_032646.5,0.023555624
cg07883333,50848,36,1,NM_016946.3,0.94037294
cg07884019,51617,36,5,NM_015980.3,0.297951333
cg07884474,64601,36,20,NM_022575.2,0.039254802
cg07886712,25807,36,22,NM_012265.1,0.124797001
cg07888040,342035,36,15,NM_181789.1,0.809678995
cg07888234,8792,36,18,NM_003839.2,0.06765791
cg07889201,79175,36,20,NM_024325.4,0.138705756
cg07890954,10002,36,15,NM_014249.2,0.845879375
cg07892051,10566,36,12,NM_006422.2,0.791230161
cg07894162,55000,36,22,NR_002323.1,0.05651031
cg07894717,1325,36,1,NM_001302.3,0.890397871
cg07895149,51063,36,10,NM_015916.3,0.076049315
cg07896225,9274,36,16,NM_004765.2,0.0310368
cg07897193,9655,36,2,NM_014011.4,0.028996934
cg07897414,56062,36,X,NM_057162.1,0.14586791
cg07897701,26,36,7,NM_001091.2,0.606724329
cg07897837,128061,36,1,NM_152379.2,0.03042046
cg07899016,56124,36,5,NM_018932.3,0.370244163
cg07899425,2936,36,8,NM_000637.2,0.038719025
cg07900766,79582,36,2,NM_001025436.1,0.049191833
cg07903860,64421,36,10,NM_022487.2,0.058921074
cg07903918,9568,36,9,NM_005458.5,0.096859031
cg07905963,1553,36,19,NM_000766.3,0.60387388
cg07906495,55632,36,14,NM_017769.2,0.053437678
cg07906724,8973,36,8,NM_004198.2,0.411763581
cg07908874,10844,36,10,NM_006659.1,0.785084171
cg07909265,3685,36,2,NM_002210.2,0.049172214
cg07909422,23408,36,6,NM_012241.2,0.077673367
cg07909527,10101,36,16,NM_012225.1,0.026778415
cg07911663,84187,36,X,NM_032227.1,0.328039446
cg07911673,399512,36,17,NM_201520.1,0.785906685
cg07912181,51144,36,11,NM_016142.1,0.020351499
cg07914866,11213,36,12,NM_007199.1,0.280973763
cg07914959,60468,36,6,NM_021813.1,0.02589403
cg07915282,283349,36,12,NM_178169.2,0.111222729
cg07915343,160287,36,11,NM_144972.3,0.631011319
cg07915542,3417,36,2,NM_005896.2,0.084525047
cg07917796,1730,36,X,NM_007309.1,0.074157048
cg07918509,3384,36,17,NM_000873.2,0.657779262
cg07919162,57794,36,19,NM_021164.2,0.053673357
cg07922606,8353,36,6,NM_003532.2,0.566695864
cg07924575,89781,36,22,NM_022081.4,0.496261049
cg07924819,22926,36,1,NM_007348.2,0.044134866
cg07925687,285282,36,3,NM_173825.2,0.055235427
cg07926025,9350,36,9,NM_005454.2,0.695450485
cg07927484,79685,36,5,NM_024632.3,0.037671337
cg07928641,3915,36,1,NM_002293.2,0.039834749
cg07928695,388552,36,19,NM_212550.1,0.06675364
cg07929310,9764,36,16,NM_014732.2,0.043871105
cg07930578,4058,36,15,NM_206961.1,0.854516731
cg07933176,78991,36,5,NM_024028.2,0.057547012
cg07933197,8425,36,19,NM_003573.1,0.788151774
cg07933199,151963,36,3,NM_178496.2,0.043359799
cg07934026,79963,36,4,NR_002451.1,0.053073239
cg07935151,57819,36,6,NM_021177.3,0.053423705
cg07935264,3553,36,2,NM_000576.2,0.314017209
cg07935568,2862,36,13,NM_001507.1,0.126491501
cg07936037,6745,36,6,NM_003144.2,0.019477359
cg07937272,64761,36,7,NM_022750.2,0.443901405
cg07940485,117247,36,6,NM_018593.3,0.024462739
cg07940804,139741,36,X,NM_138289.1,0.656450846
cg07942995,284312,36,19,NM_182572.2,0.61651477
cg07944287,5990,36,19,NM_134433.1,0.045114268
cg07944811,2645,36,7,NM_000162.2,0.875937255
cg07945480,2868,36,4,NM_182982.2,0.045787548
cg07947016,3817,36,19,NM_005551.3,0.632721571
cg07947930,5549,36,1,NM_002725.3,0.434200789
cg07948245,394,36,14,NM_001173.2,0.036438171
cg07948472,83890,36,5,NM_173360.2,0.759435629
cg07950803,909,36,1,NM_001763.1,0.723113949
cg07952391,55258,36,2,NM_018271.2,0.074894063
cg07952773,54936,36,1,NM_017825.1,0.04252512
cg07955356,1777,36,19,NM_001375.2,0.056850592
cg07955828,60625,36,20,NM_021931.2,0.041409308
cg07955887,23255,36,18,NM_015210.1,0.833041837
cg07957491,83549,36,9,NM_031432.1,0.368268496
cg07958192,166815,36,4,NM_145715.1,0.514944587
cg07959477,51267,36,12,NM_016511.2,0.638935723
cg07959896,79833,36,2,NM_024775.9,0.039881303
cg07960846,6794,36,19,NM_000455.4,0.067576339
cg07962043,54972,36,11,NM_017870.2,0.085844247
cg07962051,8658,36,8,NM_003747.1,0.095573802
cg07962315,54981,36,9,NM_017881.1,0.274220186
cg07964133,3184,36,4,NM_001003810.1,0.085798102
cg07964538,857,36,7,NM_001753.3,0.03448858
cg07964539,9477,36,6,NM_004275.3,0.122706559
cg07965714,7507,36,9,NM_000380.2,0.033021303
cg07965823,145501,36,14,NM_182509.2,0.080710607
cg07965839,54469,36,15,NM_019006.2,0.057508139
cg07967308,54,36,19,NM_001611.2,0.76847604
cg07967643,10817,36,6,NM_006653.3,0.038739939
cg07970007,2633,36,1,NM_002053.1,0.761492615
cg07971188,10866,36,6,NM_006674.2,0.238357365
cg07973246,57522,36,12,NM_020762.1,0.044768033
cg07973390,55602,36,4,NM_017632.1,0.063539569
cg07973395,641,36,15,NM_000057.1,0.046746959
cg07973461,574,36,21,NM_001187.1,0.843870553
cg07973967,974,36,17,NM_000626.1,0.500978734
cg07974125,84273,36,4,NM_032313.2,0.034223932
cg07974303,1671,36,8,NM_001926.2,0.754446616
cg07974891,9270,36,2,NM_022334.2,0.589064595
cg07975063,84450,36,2,NM_032434.2,0.085152665
cg07975813,8078,36,12,NM_003481.1,0.039834319
cg07977490,89927,36,16,NM_033201.1,0.755471017
cg07979357,9466,36,19,NM_004843.2,0.187734158
cg07979577,5525,36,1,NM_006243.2,0.034905849
cg07979752,8065,36,11,NM_003478.3,0.148303054
cg07980015,84899,36,13,NM_032813.1,0.849064731
cg07980518,220441,36,18,NM_173557.1,0.063633632
cg07980804,23335,36,18,NM_015285.2,0.061182433
cg07980988,4068,36,X,NM_002351.1,0.599421526
cg07981495,1081,36,6,NM_000735.2,0.8075826
cg07981588,7534,36,8,NM_003406.2,0.075365918
cg07981910,153090,36,9,NT_008470.18,0.040262942
cg07985359,115704,36,19,NM_145245.2,0.090260206
cg07986525,9603,36,7,NM_004289.5,0.04396833
cg07986773,10762,36,22,NM_153645.1,0.607614246
cg07989514,64207,36,14,NM_024496.2,0.032376885
cg07990489,129401,36,2,NM_138285.3,0.043122281
cg07990939,160418,36,12,NM_181783.1,0.052785986
cg07991621,6452,36,4,NM_003023.2,0.225179633
cg07992625,11016,36,12,NM_006856.1,0.069946457
cg07997737,4902,36,19,NM_004558.2,0.573035321
cg08001895,2045,36,6,NM_004440.2,0.058301144
cg08002996,8835,36,12,NM_003877.3,0.053311832
cg08003150,3785,36,20,NM_004518.2,0.034836858
cg08003742,2921,36,4,NM_002090.2,0.077016653
cg08005849,3082,36,7,NM_001010931.1,0.24433016
cg08007665,3784,36,11,NT_009237.17,0.823424323
cg08008233,162699,36,18,NM_145653.2,0.740466393
cg08008403,56956,36,1,NM_020204.2,0.084051344
cg08008562,55585,36,1,NM_017582.5,0.050807484
cg08009328,8343,36,6,NM_003522.3,0.204585341
cg08009622,1303,36,6,NM_080645.1,0.068255998
cg08009711,25966,36,21,NM_199050.1,0.495308973
cg08009831,201895,36,4,NM_174921.1,0.096676897
cg08011170,60528,36,17,NM_018127.4,0.038739166
cg08011328,705,36,6,NM_004053.3,0.040152559
cg08012287,89,36,11,NM_001104.1,0.436406347
cg08012454,3799,36,10,NM_004521.1,0.046168663
cg08013810,51230,36,20,NM_016436.3,0.637470923
cg08015253,55034,36,18,NM_017947.1,0.061992899
cg08015496,1314,36,1,NM_004371.2,0.469261636
cg08016363,8834,36,17,NM_003876.1,0.162198252
cg08016383,170691,36,15,NM_139057.1,0.049571277
cg08017606,153769,36,5,NM_152550.2,0.109043039
cg08020051,8733,36,8,NM_003801.2,0.058447031
cg08020381,3422,36,10,NM_004508.2,0.038889184
cg08020808,1215,36,14,NM_001836.2,0.428968643
cg08021299,9843,36,X,NM_014799.2,0.74110481
cg08022502,55898,36,15,NM_018671.2,0.194091679
cg08023692,51270,36,X,NM_016521.2,0.751791139
cg08023751,10461,36,2,NM_006343.2,0.722423985
cg08024766,9267,36,17,NM_004762.1,0.064870431
cg08025786,1198,36,15,NM_003992.1,0.861912759
cg08026144,5125,36,9,NM_006200.2,0.077953061
cg08027001,7782,36,15,NM_013309.4,0.040673446
cg08027745,6428,36,6,NM_003017.3,0.045415397
cg08028004,5903,36,2,NM_006267.3,0.258395355
cg08029608,51284,36,X,NM_016562.3,0.45953619
cg08030082,5443,36,2,NM_000939.1,0.476094573
cg08032971,127343,36,1,NM_147192.2,0.768303616
cg08034216,3416,36,10,NM_004969.1,0.042630354
cg08034397,55129,36,3,NM_018075.2,0.038125432
cg08035082,272,36,11,NM_000480.2,0.837082955
cg08035942,284273,36,18,NM_175907.3,0.060322753
cg08039281,5687,36,14,NM_002791.1,0.049255132
cg08040428,23362,36,8,NM_015310.2,0.07318123
cg08040471,79415,36,17,NM_001033046.1,0.492604235
cg08041019,6311,36,12,NM_002973.2,0.172787355
cg08044694,23476,36,19,NM_058243.1,0.217578605
cg08045570,2295,36,6,NM_001452.1,0.036157059
cg08045757,51564,36,12,NM_015401.1,0.843404596
cg08046471,6373,36,4,NM_005409.3,0.75371388
cg08047457,11186,36,3,NM_007182.4,0.163697549
cg08047907,57821,36,1,NM_021179.1,0.063425857
cg08048656,6605,36,17,NM_003079.4,0.043019457
cg08049198,10554,36,6,NM_032741.3,0.051228016
cg08052882,23530,36,5,NM_012343.2,0.054646238
cg08054038,5819,36,19,NM_002856.1,0.334709777
cg08056146,83595,36,8,NM_031439.2,0.036019973
cg08056903,10243,36,14,NM_020806.4,0.059484709
cg08057475,283651,36,15,NM_173609.2,0.84101149
cg08062469,10615,36,17,NM_006461.3,0.064151844
cg08063013,1351,36,11,NM_004074.2,0.030794074
cg08063724,4610,36,1,NM_005376.3,0.036443451
cg08064891,53635,36,19,NM_017432.2,0.053460682
cg08067268,3032,36,2,NM_000183.1,0.168977843
cg08067365,9636,36,1,NM_005101.1,0.041115264
cg08069899,894,36,12,NT_009759.15,0.059379015
cg08072716,118442,36,3,NM_080865.2,0.44669993
cg08074477,84951,36,17,NM_032865.3,0.56503767
cg08076508,23133,36,X,NM_015107.1,0.24024041
cg08077345,57664,36,19,NM_020904.1,0.739153473
cg08077673,4232,36,7,NM_177524.1,0.228013926
cg08079693,84181,36,20,NM_032221.3,0.038473052
cg08080029,26038,36,1,NM_015557.1,0.074363153
cg08081036,302,36,15,NM_001002857.1,0.082334281
cg08081407,378,36,3,NM_001660.2,0.139843441
cg08081725,54820,36,16,NM_017668.1,0.128622477
cg08082692,51363,36,10,NM_015892.2,0.797158535
cg08083689,8310,36,4,NM_003501.1,0.04934996
cg08084415,22847,36,19,NM_014910.2,0.061923011
cg08085165,79023,36,12,NM_024057.2,0.790974577
cg08085267,124989,36,17,NM_152347.3,0.207225388
cg08088390,245938,36,20,NM_153325.2,0.585136519
cg08088989,129025,36,22,NM_080740.3,0.659645664
cg08089301,3214,36,17,NM_024015.3,0.059102731
cg08090396,6787,36,3,NM_003157.1,0.037554823
cg08090640,3430,36,17,NM_005533.2,0.35437781
cg08090772,137872,36,8,NM_144650.1,0.072261825
cg08093211,1478,36,X,NM_001325.2,0.135577115
cg08093278,8498,36,19,NM_003624.1,0.025854799
cg08093398,9837,36,20,NM_021067.2,0.744175977
cg08095532,5685,36,15,NM_002789.3,0.898373201
cg08096010,6295,36,2,NM_000541.2,0.824568902
cg08096038,25957,36,6,NM_032870.1,0.806312791
cg08096946,84925,36,3,NM_032839.1,0.06400035
cg08097657,7869,36,3,NT_022517.17,0.605514064
cg08097755,7425,36,7,NM_003378.2,0.080301979
cg08097882,5457,36,13,NM_006237.2,0.062396315
cg08097973,4926,36,11,NM_006185.2,0.742668617
cg08099701,2558,36,15,NM_000810.2,0.753615867
cg08100497,9542,36,5,NM_004883.1,0.072758579
cg08101172,11168,36,9,NM_021144.2,0.05828373
cg08101264,10005,36,20,NM_183385.1,0.105991525
cg08102619,7073,36,10,NM_003252.2,0.047348847
cg08103676,10299,36,5,NM_005885.2,0.052112672
cg08104838,6389,36,5,NM_004168.1,0.838313495
cg08107272,1496,36,2,NM_004389.2,0.083664803
cg08107767,51373,36,7,NM_015969.2,0.031079092
cg08108311,65266,36,17,NM_032387.3,0.048942964
cg08108641,84628,36,9,NM_032536.1,0.734913449
cg08108953,164237,36,20,NM_172005.1,0.508919806
cg08109646,257101,36,1,NM_173574.1,0.668252975
cg08109815,4829,36,6,NM_002511.1,0.220125909
cg08110559,54793,36,8,NM_017634.2,0.101865246
cg08113203,10879,36,4,NM_006685.2,0.697568582
cg08113913,91409,36,2,NM_207310.1,0.031306138
cg08115510,51421,36,3,NM_016201.2,0.04008003
cg08116137,9027,36,2,NM_003960.2,0.321301511
cg08118311,27164,36,18,NM_171999.1,0.069858431
cg08120190,57002,36,7,NM_020192.1,0.035026482
cg08121954,6999,36,4,NM_005651.1,0.821165177
cg08122545,57801,36,1,NM_021170.2,0.046022118
cg08123074,65979,36,1,NM_023923.2,0.150647292
cg08124030,4071,36,3,NM_014220.2,0.608491096
cg08124399,55510,36,6,NM_018665.1,0.716980695
cg08124722,6354,36,17,NM_006273.2,0.877639086
cg08126211,353219,36,6,NM_181337.2,0.199244849
cg08128768,153090,36,9,NM_032552.1,0.132835834
cg08130265,81698,36,15,NM_030944.1,0.491141982
cg08132711,83888,36,4,NM_031950.2,0.536069808
cg08132767,400,36,12,NM_001177.3,0.050708118
cg08132931,119,36,2,NM_017482.1,0.054146142
cg08136806,286887,36,12,NM_173086.2,0.554093773
cg08136893,136647,36,7,NM_138701.1,0.051383387
cg08137040,168850,36,7,NM_176814.3,0.295992401
cg08137716,284076,36,17,NM_173623.1,0.822302005
cg08139833,4728,36,11,NM_002496.1,0.024299335
cg08141463,51365,36,3,NM_015900.1,0.846453396
cg08141806,23014,36,12,NM_033624.2,0.054631835
cg08141873,3265,36,11,NM_176795.2,0.256776578
cg08141989,432,36,17,NM_001671.2,0.750510145
cg08142684,6950,36,6,NM_030752.2,0.057377671
cg08145177,79575,36,19,NM_024527.3,0.144238695
cg08145590,89876,36,3,NM_033364.2,0.086199611
cg08145625,133022,36,4,NM_152402.1,0.076567731
cg08146221,5763,36,12,NM_002824.4,0.095698527
cg08147886,2181,36,2,NM_004457.3,0.042548509
cg08149333,29957,36,1,NM_013386.2,0.027850533
cg08151281,25874,36,1,NM_015415.1,0.049856571
cg08151470,10277,36,1,NM_006048.2,0.458871946
cg08156349,4209,36,1,NM_005920.2,0.03069308
cg08157292,5510,36,2,NM_002712.1,0.552540545
cg08157579,253190,36,22,NM_014509.3,0.06282207
cg08157638,81839,36,1,NM_138959.1,0.840151188
cg08158289,9812,36,5,NM_014773.2,0.335654713
cg08158331,284948,36,2,NM_198482.1,0.072431087
cg08158570,84858,36,10,NM_032772.3,0.035905579
cg08158860,5890,36,14,NM_002877.4,0.063110284
cg08159444,114824,36,X,NM_052926.1,0.457878753
cg08162572,1434,36,20,NM_001316.2,0.025724099
cg08162780,9518,36,19,NM_004864.1,0.105237184
cg08163803,221154,36,13,NM_152726.1,0.098934399
cg08164315,5734,36,5,NM_000958.2,0.049687246
cg08164900,118987,36,10,NM_173791.2,0.018648154
cg08166982,7812,36,1,NM_007158.4,0.050470197
cg08169325,2054,36,12,NM_194356.1,0.053997074
cg08170622,595,36,11,NM_053056.1,0.038482334
cg08172935,51321,36,17,NM_016627.4,0.030329383
cg08173535,2649,36,9,NM_033334.2,0.062546926
cg08174003,162966,36,19,NM_198457.1,0.054936815
cg08176609,55624,36,1,NM_017739.1,0.033111305
cg08176694,57605,36,12,NM_020845.1,0.626483505
cg08177017,55719,36,10,NM_018121.2,0.05589528
cg08177445,89885,36,X,NM_033085.2,0.520584058
cg08179530,1026,36,6,NT_007592.14,0.022597147
cg08179907,54734,36,11,NM_017516.1,0.098443073
cg08183114,5089,36,6,NM_002586.3,0.060789364
cg08185241,50486,36,1,NM_015714.2,0.110330881
cg08185661,143425,36,11,NM_175733.2,0.091971543
cg08186124,54585,36,3,NM_020347.2,0.045580531
cg08186362,11255,36,20,NM_007232.1,0.042732118
cg08190044,57198,36,1,NM_001005855.1,0.087211632
cg08190291,11096,36,21,NM_007038.2,0.051977603
cg08191854,7226,36,21,NM_001001188.3,0.282901811
cg08191915,116337,36,11,NM_052959.2,0.689563241
cg08195505,2119,36,3,NM_004454.1,0.061983142
cg08197122,79075,36,8,NM_024094.1,0.042814691
cg08197201,23085,36,12,NM_178037.1,0.027658991
cg08198102,9200,36,10,NM_014241.2,0.074646743
cg08198370,64960,36,1,NM_031280.2,0.033302538
cg08198480,285696,36,5,NM_173669.1,0.102071033
cg08201421,7125,36,20,NM_003279.2,0.815597121
cg08203715,6484,36,11,NM_006278.1,0.20237301
cg08205655,11274,36,22,NM_017414.2,0.070545518
cg08205865,55811,36,1,NM_018417.2,0.575896391
cg08207256,1785,36,19,NM_004945.2,0.130311803
cg08209133,201780,36,4,NM_152679.2,0.164901196
cg08209724,7756,36,17,NM_001032293.1,0.141056574
cg08210616,91392,36,3,NM_033210.3,0.084742665
cg08211091,339983,36,4,NM_178557.2,0.101837309
cg08211967,11214,36,15,NM_006738.4,0.038094025
cg08212685,83734,36,5,NM_031482.3,0.155027475
cg08214029,6362,36,17,NM_002988.2,0.55756504
cg08214328,56474,36,X,NM_019857.3,0.075123764
cg08214957,1038,36,X,NM_004065.2,0.855978319
cg08216720,1317,36,9,NM_001859.2,0.063563395
cg08216792,3981,36,13,NM_002312.3,0.044965216
cg08216808,10109,36,2,NM_005731.2,0.281247665
cg08220793,80746,36,3,NM_025265.2,0.038574226
cg08221207,9638,36,11,NM_022549.2,0.067089628
cg08222185,104,36,21,NM_001112.2,0.042927123
cg08222514,26054,36,6,NM_015571.1,0.110643051
cg08222662,56829,36,7,NM_024625.3,0.094182402
cg08223235,596,36,18,NT_025028.13,0.642400258
cg08223748,4208,36,5,NM_002397.2,0.044485428
cg08228917,10186,36,13,NM_005780.1,0.056179782
cg08229627,4867,36,2,NM_000272.2,0.035183475
cg08229694,10989,36,2,NM_006839.1,0.032135201
cg08233088,51187,36,15,NM_016304.2,0.066461933
cg08233173,8992,36,5,NM_003945.3,0.08298805
cg08235271,23266,36,1,NM_012302.2,0.086649541
cg08241785,2151,36,5,NM_004101.2,0.244422183
cg08242020,10313,36,11,NM_201429.1,0.05515293
cg08242323,5433,36,2,NM_004805.2,0.051626925
cg08242493,10724,36,10,NM_012215.1,0.046673945
cg08244028,4437,36,5,NM_002439.2,0.700786884
cg08244522,7056,36,20,NM_000361.2,0.054359434
cg08245487,83445,36,12,NM_031289.1,0.859901531
cg08245789,150350,36,22,NM_152512.3,0.912380638
cg08247612,4807,36,1,NM_005598.2,0.809894116
cg08248532,10549,36,X,NM_006406.1,0.194424575
cg08250444,1942,36,1,NM_182685.1,0.033960642
cg08251036,4249,36,2,NM_002410.2,0.881976946
cg08251399,30845,36,2,NM_014600.1,0.53254673
cg08253405,254268,36,1,NM_152763.2,0.746220334
cg08254089,671,36,20,NM_001725.1,0.537820936
cg08254263,54857,36,X,NM_017711.2,0.719659703
cg08256027,57061,36,6,XR_001058.1,0.157801725
cg08256260,253980,36,16,NM_178863.2,0.033253453
cg08256691,6016,36,1,NM_006912.3,0.779084192
cg08256781,81616,36,19,NM_030924.2,0.779559617
cg08258650,6506,36,11,NM_004171.2,0.13421114
cg08259617,4616,36,19,NM_015675.1,0.037067439
cg08260891,5476,36,20,NM_000308.1,0.108267744
cg08260959,8361,36,6,NM_003540.3,0.1147838
cg08261094,6424,36,7,NT_007819.16,0.119312467
cg08261177,126133,36,19,NM_153329.2,0.04791218
cg08261666,6844,36,17,NM_014232.1,0.041651815
cg08261841,135932,36,7,NM_153345.1,0.747002597
cg08262933,9643,36,X,NM_012286.1,0.097727641
cg08263357,5325,36,6,NT_025741.14,0.707591794
cg08263647,56925,36,3,NM_020169.2,0.376708098
cg08265265,29985,36,19,NM_144564.4,0.044277389
cg08268099,10439,36,9,NM_014279.2,0.756908397
cg08268266,9516,36,16,NM_004862.2,0.082316607
cg08269321,388394,36,17,NM_203400.1,0.054450546
cg08270477,125144,36,17,NM_152350.1,0.031755088
cg08271519,9375,36,13,NM_004800.1,0.071102929
cg08274234,9723,36,7,NM_012431.1,0.089697519
cg08274552,6508,36,2,NM_201574.1,0.599668883
cg08278554,84419,36,15,NM_197955.1,0.118000047
cg08283293,22838,36,5,NM_014901.4,0.041024354
cg08284151,359787,36,12,NM_199286.2,0.465685915
cg08284180,50717,36,1,NM_015726.2,0.030833411
cg08284598,83959,36,20,NM_032034.1,0.834116915
cg08285151,9734,36,7,NM_058176.1,0.308313468
cg08286169,8504,36,6,NM_003630.1,0.045413587
cg08287471,10783,36,9,NM_014397.3,0.121209436
cg08289932,6461,36,9,NM_003028.1,0.044195504
cg08290212,2785,36,11,NM_012202.1,0.040546946
cg08290628,10391,36,15,NM_006091.1,0.561191472
cg08291000,23089,36,7,XM_496907.2,0.505915058
cg08291098,50861,36,20,NM_015894.2,0.064954179
cg08291539,10260,36,15,NM_005848.1,0.026662393
cg08292050,122809,36,14,NM_080867.2,0.787327578
cg08292112,3093,36,4,NM_005339.3,0.033689726
cg08293367,29799,36,22,NM_013313.3,0.058048984
cg08293760,25782,36,1,NM_012414.2,0.036156226
cg08296824,26031,36,7,NM_015550.2,0.058812348
cg08299045,128308,36,1,NM_181441.1,0.028877658
cg08300622,10389,36,X,NM_006089.1,0.218866308
cg08300860,11155,36,10,NM_007078.1,0.810173162
cg08301503,401253,36,6,NM_207497.1,0.215892805
cg08302713,2729,36,6,NM_001498.2,0.065072557
cg08303146,3784,36,11,NT_009237.17,0.027634859
cg08304608,81027,36,20,NM_030773.2,0.901961641
cg08305742,51315,36,2,NM_016618.1,0.047913792
cg08307039,373,36,5,NM_001656.3,0.054238809
cg08307092,8351,36,6,NM_003530.3,0.056049796
cg08307580,7746,36,6,NM_006299.2,0.060341672
cg08307816,123099,36,14,NM_206918.1,0.058670734
cg08307963,2702,36,1,NM_181703.1,0.140490201
cg08308257,10285,36,10,NM_005871.2,0.056148616
cg08308286,79157,36,17,NM_024311.2,0.029247385
cg08308510,140873,36,20,NM_080828.1,0.864418367
cg08312191,6637,36,2,NM_003096.2,0.048935744
cg08313788,9991,36,9,NM_005156.4,0.029487934
cg08314660,11187,36,11,NM_007183.2,0.794864804
cg08315187,64065,36,6,NM_022121.2,0.061769461
cg08315277,10343,36,22,NM_006071.1,0.939459483
cg08315770,89822,36,6,NM_031460.2,0.085043777
cg08317263,26112,36,5,NM_015621.2,0.155923376
cg08319238,4059,36,19,NM_005581.3,0.150860278
cg08319404,7068,36,3,NM_000461.2,0.341648532
cg08319991,7345,36,4,NM_004181.3,0.06306509
cg08321272,10463,36,4,NM_006345.3,0.027957369
cg08321330,64499,36,16,NM_024164.5,0.781569064
cg08321346,51281,36,2,NM_016552.2,0.186240602
cg08324796,27238,36,X,NM_015698.3,0.146333353
cg08328671,624,36,14,NM_000623.2,0.080060562
cg08331313,6678,36,5,NM_003118.2,0.132848802
cg08331840,59347,36,8,NM_021631.1,0.799003338
cg08331960,9351,36,16,NM_004785.3,0.406860303
cg08332212,4295,36,6,NM_002418.1,0.80471323
cg08332868,9904,36,12,NM_016196.1,0.033556322
cg08335125,267004,36,10,NM_170753.1,0.77379562
cg08338368,55801,36,12,NM_018402.1,0.782399577
cg08339208,80143,36,1,NM_025073.1,0.023604499
cg08341667,118738,36,10,NM_153034.2,0.143876621
cg08341874,284013,36,17,NM_182566.1,0.144529442
cg08341924,7051,36,14,NM_000359.1,0.83676802
cg08341978,473,36,1,NM_012102.2,0.042852899
cg08342270,7090,36,15,NM_005078.1,0.094219126
cg08343834,5376,36,17,NM_000304.2,0.521013844
cg08343943,223,36,1,NM_000696.2,0.061055233
cg08346269,2647,36,12,NM_001487.1,0.069599789
cg08347423,27130,36,9,NM_183245.1,0.044259915
cg08347960,6326,36,2,NM_021007.1,0.200832345
cg08348496,145864,36,15,NM_178232.2,0.030202836
cg08348900,7432,36,6,NM_003381.2,0.19543261
cg08348962,387597,36,1,NM_199351.1,0.112890502
cg08349573,114897,36,17,NM_198594.1,0.026711
cg08349806,255027,36,16,NM_173803.2,0.134814676
cg08350173,567,36,15,NM_004048.2,0.031668602
cg08351105,2355,36,2,NM_005253.3,0.03378054
cg08351143,54926,36,9,NM_017811.3,0.029907696
cg08351331,3929,36,20,NM_004139.2,0.754797919
cg08353062,7358,36,4,NM_003359.2,0.041255722
cg08353146,9911,36,1,NM_014858.2,0.060693015
cg08355340,10200,36,16,NM_005792.1,0.029047098
cg08355944,84255,36,7,NM_032295.2,0.044385514
cg08356693,55600,36,1,NM_017625.2,0.584327001
cg08358671,10625,36,1,NM_006469.4,0.068682986
cg08359956,28959,36,7,NM_014020.2,0.156698818
cg08360728,63906,36,1,NM_022078.1,0.198037001
cg08361238,5738,36,1,NM_020440.2,0.410688287
cg08364102,9885,36,20,NM_014835.2,0.218170601
cg08365982,859,36,3,NM_001234.3,0.816525009
cg08366126,2517,36,1,NM_000147.2,0.057946705
cg08367026,51275,36,12,NM_016534.2,0.039177235
cg08367223,6626,36,19,NM_004596.3,0.686889322
cg08367703,10807,36,9,NM_006643.2,0.029360902
cg08367838,81555,36,5,NM_030799.6,0.103095693
cg08368934,222487,36,16,NM_170776.3,0.609046989
cg08369065,2626,36,8,NT_077531.3,0.093469741
cg08370996,7026,36,15,NM_021005.2,0.084617434
cg08372326,22927,36,9,NM_014282.1,0.030471086
cg08373610,130132,36,2,NM_144629.1,0.163258419
cg08374799,3695,36,12,NM_000889.1,0.324837421
cg08375941,2838,36,3,NM_005290.1,0.707348908
cg08376864,57110,36,3,NM_020386.2,0.160771405
cg08377000,166815,36,4,NM_145715.1,0.766698789
cg08379517,126364,36,19,NM_145256.2,0.769414048
cg08380205,92369,36,3,NM_080862.1,0.171652553
cg08380539,1486,36,1,NM_004388.1,0.068557459
cg08383063,5925,36,13,NM_000321.1,0.049691264
cg08383315,79608,36,11,NM_024557.2,0.05985053
cg08385610,11178,36,8,NM_021020.1,0.869584867
